N;NP;NC;Tempo
1;1;1;0,4826
1;1;2;0,47676
1;1;3;0,47533
1;1;4;0,47551
1;1;5;0,4704
1;2;1;0,48481
1;2;2;0,47883
1;2;3;0,47291
1;2;4;0,46004
1;2;5;0,4562
1;3;1;0,48398
1;3;2;0,46595
1;3;3;0,45454
1;3;4;0,44405
1;3;5;0,4409
1;4;1;0,4869
1;4;2;0,47021
1;4;3;0,45313
1;4;4;0,4134
1;4;5;0,41174
1;5;1;0,49948
1;5;2;0,47989
1;5;3;0,45497
1;5;4;0,4183
1;5;5;0,37388
2;1;1;0,25066
2;1;2;0,13891
2;1;3;0,23595
2;1;4;0,2412
2;1;5;0,24636
2;2;1;0,19253
2;2;2;0,34779
2;2;3;0,25515
2;2;4;0,21346
2;2;5;0,21935
2;3;1;0,25082
2;3;2;0,27186
2;3;3;0,31434
2;3;4;0,26077
2;3;5;0,22326
2;4;1;0,24856
2;4;2;0,21987
2;4;3;0,2474
2;4;4;0,23069
2;4;5;0,21631
2;5;1;0,24926
2;5;2;0,25002
2;5;3;0,24564
2;5;4;0,23001
2;5;5;0,23188
3;1;1;0,1689
3;1;2;0,11669
3;1;3;0,23763
3;1;4;0,23953
3;1;5;0,24262
3;2;1;0,1475
3;2;2;0,25527
3;2;3;0,11099
3;2;4;0,10907
3;2;5;0,14223
3;3;1;0,24417
3;3;2;0,10708
3;3;3;0,28572
3;3;4;0,16039
3;3;5;0,15371
3;4;1;0,24015
3;4;2;0,13217
3;4;3;0,16775
3;4;4;0,20272
3;4;5;0,16095
3;5;1;0,24631
3;5;2;0,21842
3;5;3;0,14977
3;5;4;0,16888
3;5;5;0,18807
4;1;1;0,12987
4;1;2;0,10602
4;1;3;0,23655
4;1;4;0,24088
4;1;5;0,24826
4;2;1;0,1292
4;2;2;0,20388
4;2;3;0,09222
4;2;4;0,08601
4;2;5;0,12561
4;3;1;0,2484
4;3;2;0,09332
4;3;3;0,21592
4;3;4;0,10378
4;3;5;0,09636
4;4;1;0,24524
4;4;2;0,10469
4;4;3;0,10837
4;4;4;0,1969
4;4;5;0,12831
4;5;1;0,24881
4;5;2;0,2047
4;5;3;0,10219
4;5;4;0,11882
4;5;5;0,15343
5;1;1;0,10364
5;1;2;0,10338
5;1;3;0,2195
5;1;4;0,23485
5;1;5;0,24417
5;2;1;0,10585
5;2;2;0,16829
5;2;3;0,07505
5;2;4;0,07665
5;2;5;0,09817
5;3;1;0,23902
5;3;2;0,0752
5;3;3;0,17363
5;3;4;0,08913
5;3;5;0,08454
5;4;1;0,24227
5;4;2;0,08831
5;4;3;0,08786
5;4;4;0,14643
5;4;5;0,11161
5;5;1;0,2483
5;5;2;0,19219
5;5;3;0,08584
5;5;4;0,09742
5;5;5;0,1586
